id,type,source,family,state,instructions,criteria,label
manual_v2_choice_011,choice,manual,priority,"""賞の選考は得点が高い作品を優先し、同点のときだけ題名の五十音順にする。得点は「いずみ」8点、「あかり」7点、「うた」6点。\n\n展示室では題名を五十音順に掲示している。しかし掲示の順と賞の選考順位は別であり、選考には冒頭の得点優先の規則を使う。作品の提出時刻や大きさは同じである。投票用紙の用意と会場の準備は済んでいる。今回の選考は一つの作品を最優先に選ぶもので、複数作品を同時に選ぶ規則はない。同点の作品がない場合には、五十音順は順位を決めるために使わない。""",最優先の作品を選ぶ。,"{""option_0"": ""あかり"", ""option_1"": ""いずみ"", ""option_2"": ""うた"", ""option_3"": ""あかりとうた"", ""option_4"": ""選べない""}","""option_1"""
manual_v2_choice_012,choice,manual,conjunction,"""展示に使う板は光を通し、かつ水を吸わないものが必要。板アは両方満たす。板イは光を通すが水を吸う。板ウは水を吸わないが不透明。""",全条件を満たす板を選ぶ。,"{""option_0"": ""板イ"", ""option_1"": ""板ア"", ""option_2"": ""板ウ"", ""option_3"": ""板イと板ウ"", ""option_4"": ""全て"", ""option_5"": ""なし""}","""option_1"""
manual_v2_choice_013,choice,manual,sequence,"""折り方は、半分に折る→一度広げる→折り目に合わせて端を折る。いま半分に折り終えた。""",指示通りの次の動作を選ぶ。,"{""option_0"": ""半分に折る"", ""option_1"": ""広げる"", ""option_2"": ""端を折る"", ""option_3"": ""切る"", ""option_4"": ""色を塗る"", ""option_5"": ""のり付け"", ""option_6"": ""完成とする""}","""option_1"""
manual_v2_choice_014,choice,manual,scope,"{""畑の区画"": {""東"": {""日当たり"": ""良い"", ""土"": ""乾燥""}, ""中央"": {""日当たり"": ""弱い"", ""土"": ""湿潤""}, ""西"": {""日当たり"": ""良い"", ""土"": ""湿潤""}}, ""栽培条件"": ""日当たりが良く、土が湿潤""}",条件に合う区画を一つ選ぶ。,"{""option_0"": ""東"", ""option_1"": ""西"", ""option_2"": ""中央"", ""option_3"": ""東と中央"", ""option_4"": ""中央と西"", ""option_5"": ""全区画"", ""option_6"": ""該当なし"", ""option_7"": ""情報不足""}","""option_1"""
manual_v2_choice_015,choice,manual,meaning,"""作者は「この色使いには驚いた。気に入らないという意味ではなく、予想外の良さに驚いている」と説明した。""",色使いに対する評価を選ぶ。,"{""option_0"": ""好意的"", ""option_1"": ""否定的""}","""option_0"""
manual_v2_choice_016,choice,manual,meaning,"""楽団からの「次の公演で独奏をお願いできますか」に「喜んでお引き受けします」と答えた。""",返答の意味を選ぶ。,"{""option_0"": ""断る"", ""option_1"": ""決定を保留する"", ""option_2"": ""引き受ける""}","""option_2"""
manual_v2_choice_017,choice,manual,exception,"""練習室では通常は打楽器を使えない。ただし打楽器講習中は使える。現在は打楽器講習の時間である。""",いまの利用条件を選ぶ。,"{""option_0"": ""常に禁止なので使えない"", ""option_1"": ""講習が終わるまで使えない"", ""option_2"": ""打楽器を使える"", ""option_3"": ""場所が特定できない""}","""option_2"""
manual_v2_choice_018,choice,manual,intersection,"""展示の解説を日本語と英語の両方で読める人を探す。甲は日本語と中国語、乙は英語と日本語、丙は英語と韓国語が読める。""",条件に合う人を選ぶ。,"{""option_0"": ""甲"", ""option_1"": ""丙"", ""option_2"": ""乙"", ""option_3"": ""甲と丙"", ""option_4"": ""誰もいない""}","""option_2"""
manual_v2_choice_019,choice,manual,scope,"""壁画は背景、人物、額縁の3部分。補修対象は背景の青い部分だけで、人物の青い服は対象外。""",補修する場所を選ぶ。,"{""option_0"": ""人物の服"", ""option_1"": ""額縁"", ""option_2"": ""背景の青い部分"", ""option_3"": ""人物全体"", ""option_4"": ""壁全体"", ""option_5"": ""補修しない""}","""option_2"""
manual_v2_choice_020,choice,manual,distractor,"""練習用ボールには組を示す文字「C」と、個人番号「2」がある。集合先は組の文字で決め、C組は芝生へ行く。""",集合する場所を選ぶ。,"{""option_0"": ""校門"", ""option_1"": ""体育館"", ""option_2"": ""芝生"", ""option_3"": ""図書室"", ""option_4"": ""第2教室"", ""option_5"": ""プール"", ""option_6"": ""玄関""}","""option_2"""
manual_v2_choice_021,choice,manual,negation,"""舞台の雪は紙を細かく切ったもの。白色だが、本物の雪や氷は使っていない。""",舞台の雪の材料を選ぶ。,"{""option_0"": ""水"", ""option_1"": ""氷"", ""option_2"": ""紙"", ""option_3"": ""塩"", ""option_4"": ""砂"", ""option_5"": ""綿"", ""option_6"": ""木"", ""option_7"": ""金属""}","""option_2"""
manual_v2_choice_022,choice,manual,history,"""「昨日の星は見えなかったが、雲が切れて今夜ははっきり観察できた」""",今夜の観察結果を選ぶ。,"{""option_0"": ""観察できなかった"", ""option_1"": ""観察できた""}","""option_1"""
manual_v2_choice_023,choice,manual,insufficient,"{""種の袋"": ""開封済み"", ""種の種類"": ""ラベルがはがれて不明"", ""色"": ""茶色""}",種の種類について妥当な結論を選ぶ。,"{""option_0"": ""この記録だけでは不明"", ""option_1"": ""ヒマワリと確定"", ""option_2"": ""アサガオと確定""}","""option_0"""
manual_v2_choice_024,choice,manual,arithmetic,"""24枚の模様紙を6人で同じ枚数ずつ分け、余りが出ないようにした。""",一人分を選ぶ。,"{""option_0"": ""3枚"", ""option_1"": ""6枚"", ""option_2"": ""8枚"", ""option_3"": ""4枚""}","""option_3"""
manual_v2_choice_025,choice,manual,arithmetic,"""音の練習は1区間が3分。4区間の間に1分の休憩を3回挟み、最後の区間の後には休憩を置かない。""",開始から終了までの時間を選ぶ。,"{""option_0"": ""12分"", ""option_1"": ""13分"", ""option_2"": ""14分"", ""option_3"": ""15分"", ""option_4"": ""16分""}","""option_3"""
manual_v2_choice_026,choice,manual,permission,"""展示のスケッチは許可されているが、写真、録音、作品への接触は禁止されている。""",許可された行為を選ぶ。,"{""option_0"": ""写真撮影"", ""option_1"": ""録音"", ""option_2"": ""作品に触る"", ""option_3"": ""鉛筆で描き写す"", ""option_4"": ""作品を動かす"", ""option_5"": ""照明を変える""}","""option_3"""
manual_v2_choice_027,choice,manual,meaning,"""「詩を黙って読むのでなく、声に出して聞かせてください」という依頼がある。""",求める活動を選ぶ。,"{""option_0"": ""暗算"", ""option_1"": ""合唱"", ""option_2"": ""書き取り"", ""option_3"": ""朗読"", ""option_4"": ""写生"", ""option_5"": ""体操"", ""option_6"": ""手品""}","""option_3"""
manual_v2_choice_028,choice,manual,extraction,"{""楽譜の指定"": {""強さ"": ""弱く"", ""速さ"": ""速く"", ""演奏回数"": 2}}",演奏の強さとして指定されたものを選ぶ。,"{""option_0"": ""非常に強く"", ""option_1"": ""強く"", ""option_2"": ""少し強く"", ""option_3"": ""弱く"", ""option_4"": ""普通"", ""option_5"": ""少し弱く"", ""option_6"": ""無音"", ""option_7"": ""自由""}","""option_3"""
manual_v2_choice_029,choice,manual,insufficient,"""ある鳥が夕方に庭へ来た。巣の場所はまだ探しておらず、飛来した方向も記録していない。""",この記録から巣の場所を特定できるか。,"{""option_0"": ""特定できない"", ""option_1"": ""特定できる""}","""option_0"""
manual_v2_choice_030,choice,manual,history,"""物語の初稿では結末が別れだった。改稿で再会に変え、推敲でもその結末を維持した。""",採用された結末を選ぶ。,"{""option_0"": ""別れ"", ""option_1"": ""再会"", ""option_2"": ""夢から覚める""}","""option_1"""
manual_v2_choice_031,choice,manual,range,"""描画用の鉛筆は長さ12cm以上16cm以下を使う。アは11cm、イは14cm、ウは17cm。""",条件に合う鉛筆を選ぶ。,"{""option_0"": ""イ"", ""option_1"": ""ア"", ""option_2"": ""ウ"", ""option_3"": ""該当なし""}","""option_0"""
manual_v2_choice_032,choice,manual,arithmetic,"{""楽譜全体のページ数"": 18, ""初日に読んだページ数"": 7, ""次の日に読んだページ数"": 6, ""重複して読んだページ"": 0}",未読ページ数を選ぶ。,"{""option_0"": ""3"", ""option_1"": ""4"", ""option_2"": ""6"", ""option_3"": ""7"", ""option_4"": ""5""}","""option_4"""
manual_v2_choice_033,choice,manual,sequence,"""拍の並びは強・弱・弱の3拍で繰り返す。1周期の最後の弱拍を打ち終えた。""",次の拍を選ぶ。,"{""option_0"": ""弱"", ""option_1"": ""休止"", ""option_2"": ""強と弱を同時"", ""option_3"": ""自由拍"", ""option_4"": ""強"", ""option_5"": ""終了""}","""option_4"""
manual_v2_choice_034,choice,manual,meaning,"""「絵そのものは気に入っています。光が反射して見づらい置き方が残念です」""",改善してほしい対象を選ぶ。,"{""option_0"": ""絵の題材"", ""option_1"": ""額の色"", ""option_2"": ""作者名"", ""option_3"": ""絵の大きさ"", ""option_4"": ""展示の置き方"", ""option_5"": ""入場券の形"", ""option_6"": ""展示室の名前""}","""option_4"""
manual_v2_choice_035,choice,manual,extraction,"{""舞踊の衣装"": ""緑の上着"", ""小道具"": ""銀の鈴"", ""背景"": ""青い幕""}",小道具として指定されたものを選ぶ。,"{""option_0"": ""赤い旗"", ""option_1"": ""白い布"", ""option_2"": ""黒い帽子"", ""option_3"": ""金の冠"", ""option_4"": ""銀の鈴"", ""option_5"": ""青い本"", ""option_6"": ""緑の枝"", ""option_7"": ""紫の傘""}","""option_4"""
manual_v2_choice_036,choice,manual,history,"""水槽の観察記録では、卵が見つかり、数日後にすべてふ化した。現在、卵のまま残っているものはない。""",最新の状態を選ぶ。,"{""option_0"": ""すべて卵のまま"", ""option_1"": ""すべてふ化済み""}","""option_1"""
manual_v2_choice_037,choice,manual,exception,"""見学者は舞台へ上がれない。ただし体験枠に当選した見学者は係員と一緒なら上がれる。奏は当選し係員が同行している。""",奏について選ぶ。,"{""option_0"": ""上がれない"", ""option_1"": ""当選情報が不明"", ""option_2"": ""舞台へ上がれる""}","""option_2"""
manual_v2_choice_038,choice,manual,meaning,"""録音した声を再生すると片方のスピーカーからだけ音が出る。録音データ自体には左右両方の音があり、他のスピーカーでは両方聞こえる。""",この報告が指す問題箇所を選ぶ。,"{""option_0"": ""録音する文章"", ""option_1"": ""現在のスピーカー側"", ""option_2"": ""声の高さ"", ""option_3"": ""記録の日付""}","""option_1"""
manual_v2_choice_039,choice,manual,priority,"""作曲の見直し順は旋律、和音、装飾。旋律は確認を終えて確定し、和音と装飾はまだ未確認。""",次に見直すものを選ぶ。,"{""option_0"": ""和音"", ""option_1"": ""旋律をもう一度"", ""option_2"": ""装飾"", ""option_3"": ""曲名"", ""option_4"": ""確認を終える""}","""option_0"""
manual_v2_choice_040,choice,manual,history,"""盆栽を棚の左からA、B、Cと並べた。Aを右端へ移し、残りの順は変えなかった。""",現在の左端を選ぶ。,"{""option_0"": ""A"", ""option_1"": ""C"", ""option_2"": ""AとC"", ""option_3"": ""何もない"", ""option_4"": ""不明"", ""option_5"": ""B""}","""option_5"""
manual_v2_choice_041,choice,manual,meaning,"""試作品の「つまむ部分が滑る」という意見を、持ちやすさの評価として記録したい。""",意見の分類を選ぶ。,"{""option_0"": ""装飾性"", ""option_1"": ""香り"", ""option_2"": ""透明度"", ""option_3"": ""保管期限"", ""option_4"": ""文字の読みやすさ"", ""option_5"": ""持ちやすさ"", ""option_6"": ""音の質""}","""option_5"""
manual_v2_choice_042,choice,manual,conjunction,"""色は緑で形は星の飾りを探している。候補は下記の通りで、一つだけが両方を満たす。""",条件に合う飾りを選ぶ。,"{""option_0"": ""緑の丸"", ""option_1"": ""赤い星"", ""option_2"": ""青い星"", ""option_3"": ""緑の三角"", ""option_4"": ""黄の星"", ""option_5"": ""緑の星"", ""option_6"": ""緑の四角"", ""option_7"": ""白い星""}","""option_5"""
manual_v2_choice_043,choice,manual,contrast,"""「登場人物は少ないけれど、一人一人の気持ちがよく伝わる物語です」""",人物描写を肯定的に評価しているか。,"{""option_0"": ""肯定的に評価している"", ""option_1"": ""否定的に評価している""}","""option_0"""
manual_v2_choice_044,choice,manual,scope,"{""演目"": {""歌"": ""舞台上"", ""踊り"": ""舞台袖"", ""朗読"": ""控室""}}",踊りの出演者が待っている場所を選ぶ。,"{""option_0"": ""舞台袖"", ""option_1"": ""舞台上"", ""option_2"": ""控室""}","""option_0"""
manual_v2_choice_045,choice,manual,negation,"""「背景を消すのではなく、背景の線を少し薄くして」と指示された。""",求められる作業を選ぶ。,"{""option_0"": ""背景を削除"", ""option_1"": ""人物を消す"", ""option_2"": ""線を薄くする"", ""option_3"": ""線を太くする""}","""option_2"""
manual_v2_choice_046,choice,manual,temporal,"""観察会は日の出の30分前に集合する。この日の出は6時20分と決まっている。""",集合時刻を選ぶ。,"{""option_0"": ""5時30分"", ""option_1"": ""5時50分"", ""option_2"": ""6時"", ""option_3"": ""6時20分"", ""option_4"": ""6時50分""}","""option_1"""
manual_v2_choice_047,choice,manual,arithmetic,"""同じ長さの木片3本を端からつないだら全長27cmになった。重なりやすき間はない。""",木片1本の長さを選ぶ。,"{""option_0"": ""9cm"", ""option_1"": ""3cm"", ""option_2"": ""6cm"", ""option_3"": ""12cm"", ""option_4"": ""18cm"", ""option_5"": ""24cm""}","""option_0"""
manual_v2_choice_048,choice,manual,meaning,"""工作台のうち、描画は台A、糸を扱う作業は台B、粘土は台Cを使う。いま行うのは刺しゅう糸を縫い込む作業。""",指定された作業台を選ぶ。,"{""option_0"": ""台A"", ""option_1"": ""台C"", ""option_2"": ""全台"", ""option_3"": ""床"", ""option_4"": ""窓辺"", ""option_5"": ""台は使わない"", ""option_6"": ""台B""}","""option_6"""
manual_v2_choice_049,choice,manual,comparison,"""3つの録音の長さは甲が2分10秒、乙が1分50秒、丙が2分。""",最も短い録音を選ぶ。,"{""option_0"": ""甲"", ""option_1"": ""丙"", ""option_2"": ""甲と乙"", ""option_3"": ""乙と丙"", ""option_4"": ""甲と丙"", ""option_5"": ""全部同じ"", ""option_6"": ""乙"", ""option_7"": ""比較不能""}","""option_6"""
manual_v2_choice_050,choice,manual,scope,"""展示の記録係は「動いた作品だけ書き留める」。作品は点灯したが位置は動いていない。""",指定された記録対象に当たるか。,"{""option_0"": ""当たる"", ""option_1"": ""当たらない""}","""option_1"""
manual_v2_choice_051,choice,manual,arithmetic,"""コマを1回回すのにシールを2枚使う。シール10枚から2回分を使った。""",残りのシール枚数を選ぶ。,"{""option_0"": ""4枚"", ""option_1"": ""6枚"", ""option_2"": ""8枚""}","""option_1"""
manual_v2_choice_052,choice,manual,priority,"""選曲は「独唱できる曲を優先し、それがなければ合唱曲」。候補のうち曲Xは独唱可、曲Yは合唱専用。""",規則に従う選曲を選ぶ。,"{""option_0"": ""曲Y"", ""option_1"": ""両曲を同時"", ""option_2"": ""歌わない"", ""option_3"": ""曲X""}","""option_3"""
manual_v2_choice_053,choice,manual,extraction,"{""観測器の表示"": {""風向"": ""南"", ""強さ"": ""弱い"", ""記録時刻"": ""朝""}}",観測器に表示された風向を選ぶ。,"{""option_0"": ""東"", ""option_1"": ""西"", ""option_2"": ""南"", ""option_3"": ""北"", ""option_4"": ""不明""}","""option_2"""
manual_v2_choice_054,choice,manual,history,"""舞台ではベルが鳴った後に幕が開き、その後照明が明るくなった。時計の時刻は記録されていない。""",幕が開く直前の出来事を選ぶ。,"{""option_0"": ""照明が明るくなった"", ""option_1"": ""ベルが鳴った"", ""option_2"": ""幕が閉じた"", ""option_3"": ""拍手が始まった"", ""option_4"": ""演者が帰った"", ""option_5"": ""不明""}","""option_1"""
manual_v2_choice_055,choice,manual,insufficient,"""土の表面は乾いているが、中の水分は調べていない。容器の底も見ていない。\n\n観察は容器を動かさず、表面を外から見ただけで行った。土を掘って中を見たり、水分計を差し込んだりしていない。前日に水を与えたかどうかの記録もない。室温と容器の色は分かっているが、どちらからも土全体の水分量を計算できるという規則は与えられていない。観察メモには実際に確認した範囲だけを記し、見えていない部分を推測で埋めない方針である。""",土全体の水分状態について確実に言えることを選ぶ。,"{""option_0"": ""この情報だけでは決められない"", ""option_1"": ""全部乾燥"", ""option_2"": ""全部湿潤"", ""option_3"": ""底だけ湿潤"", ""option_4"": ""中央だけ乾燥"", ""option_5"": ""水分ゼロ"", ""option_6"": ""常に一定""}","""option_0"""
manual_v2_choice_056,choice,manual,meaning,"""吹奏楽の相談で「笛の音が聞こえにくいので、笛が分かるバランスにしたい」と述べた。""",中心となる要望を選ぶ。,"{""option_0"": ""曲名の変更"", ""option_1"": ""演奏日の変更"", ""option_2"": ""譜面の色変更"", ""option_3"": ""椅子の交換"", ""option_4"": ""服装変更"", ""option_5"": ""拍手の練習"", ""option_6"": ""部屋の掃除"", ""option_7"": ""音のバランス調整""}","""option_7"""
manual_v2_choice_057,choice,manual,quotation,"""朗読劇の台詞には「宝を捨てよう」があるが、演者は休憩中に「私自身なら大切に保管する」と述べた。""",演者本人の考えを選ぶ。,"{""option_0"": ""保管する"", ""option_1"": ""捨てる""}","""option_0"""
manual_v2_choice_058,choice,manual,boundary,"""工作コンクールの寸法条件は高さが10cmを超えること。作品の高さはちょうど10cm。""",作品を条件と照合した結果を選ぶ。,"{""option_0"": ""条件を満たす"", ""option_1"": ""上限を超えた"", ""option_2"": ""条件を満たさない""}","""option_2"""
manual_v2_choice_059,choice,manual,negation,"""「片づける対象は赤い布ではなく、赤い布の上にある道具です」と指定された。""",片づける対象を選ぶ。,"{""option_0"": ""布の上の道具"", ""option_1"": ""赤い布"", ""option_2"": ""部屋の全て"", ""option_3"": ""何も片づけない""}","""option_0"""
manual_v2_choice_060,choice,manual,arithmetic,"""パズルで1手進めるごとに2点得る。4手進めてから罠で3点失い、ほかに加減点はない。""",この間の得点の増加を選ぶ。,"{""option_0"": ""3点"", ""option_1"": ""4点"", ""option_2"": ""6点"", ""option_3"": ""5点"", ""option_4"": ""8点""}","""option_3"""
manual_v2_noul_001,noul,manual,entailment,"""物語の設定では、銀の印がある扉はすべて開く。目の前の扉には銀の印がある。""",設定に従えば、この扉は開くか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_002,noul,manual,negation,"""演出家は「歌わずに入場する場面ではありません。歌いながら入場します」と説明した。""",無言で入場する場面か。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_003,noul,manual,conjunction,"{""採用条件"": ""幅が12cm以下で、留め穴が2個以上あること"", ""道具"": {""幅cm"": 8, ""留め穴の個数"": 3}}",この道具は両方の採用条件を満たすか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_004,noul,manual,insufficient,"""壺に水を入れたことは記録されているが、何杯入れたかは残っていない。""",3杯入れたと確認できるか。記録で確認できる場合だけ「はい」。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_005,noul,manual,history,"""劇中で塔の旗は白から赤になり、その後青に変わった。終幕まで青のままだった。""",終幕の旗は青か。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_006,noul,manual,entailment,"""この創作世界では、羽根があるときに限って鳥に分類し、羽根がなければ鳥以外に分類する。対象の生き物に羽根はない。""",提示された分類規則で、この生き物は鳥になるか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_007,noul,manual,boundary,"""参加できる作品は長辺が30cm以下。対象の長辺はちょうど30cm。""",寸法条件を満たすか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_008,noul,manual,boundary,"""物語の扉は魔力が5を超えた場合に限って開く。現在の魔力は5。""",この条件で扉が開くか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_009,noul,manual,temporal,"""劇場の合図は暗転してから音楽を始める。すでに暗転を終えたが、音楽はまだ始まっていない。""",音楽を始める前に必要な出来事は済んでいるか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_010,noul,manual,scope,"""絵の左右を比べた記録では、左半分だけ塗り終わり、右半分は下描きのまま。""",絵の全体が塗り終わっているか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_011,noul,manual,scope,"""「この詩の題名には賛成です。ただ、最後の行はもう少し考えたい」""",題名は肯定的に受け入れているか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_012,noul,manual,negation,"""「生地を冷やすのではなく、室温へ戻してください」という指示。""",冷たくすることを求めているか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_013,noul,manual,arithmetic,"{""正方形カードの並べ方"": {""縦の枚数"": 2, ""横の枚数"": 5, ""重なり"": false}}",カードは全部で10枚か。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_014,noul,manual,arithmetic,"{""鉢の数"": 4, ""各鉢にまきたい種の数"": 3, ""持っている種の数"": 11}",すべての鉢に指定通りまけるか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_015,noul,manual,disjunction,"""舞台に立つ役は、踊れる人か笛を吹ける人が務める。奏は笛を吹ける。踊れるかは不明。""",奏は少なくとも示された条件の一つを満たすか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_016,noul,manual,conjunction,"""絵の応募には本人の作品で、未発表であることが必要。本人の作品だが昨年展示済み。""",二つの条件を両方満たすか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_017,noul,manual,negation,"""厚い紙を希望したのに、用意されたのは薄い紙だった。""",紙の厚さは希望と異なるか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_018,noul,manual,comparison,"""演奏Aは3分、演奏Bは4分。""",Aの方がBより長いか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_019,noul,manual,history,"""観測記録では、最初に雲が広がり、その後消えた。最後の観測時点には雲がなかった。\n\n観察者は同じ場所を順に見ており、別の場所の記録が混ざっているわけではない。最初の観察結果は履歴として残したが、その後の観察で状態が変わったことを確認した。途中の記録を最新の状態として扱わない。最後の観察以降は追加の記録がないので、質問は記録されている最後の時点について答える。明日の天気やこれからの雲の動きは、この質問の対象ではない。""",最後の時点では雲がないか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_020,noul,manual,exception,"""屋外の模写は自由だが、立入禁止の花壇内では描けない。場所は立入禁止の花壇内。""",自由に模写できる場所か。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_021,noul,manual,priority,"""パズルの規則は、赤い駒を青い駒より先に動かす。両方まだ動かしていない。""",赤い駒から動かすのは規則に合うか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_022,noul,manual,negation,"""鳥が来たときだけ鐘を鳴らす約束。やって来たのは鳥ではなく猫。""",鐘を鳴らす指定条件が成立したか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_023,noul,manual,conjunction,"{""実験用模型"": {""土台が固定済み"": true, ""羽根が付いている"": true}, ""開始条件"": ""土台の固定と羽根の取付けの両方""}",開始条件はそろっているか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_024,noul,manual,insufficient,"""音の記録には大きさだけが残り、出た方向は不明。""",音が西から来たと確認できるか。記録で確認できる場合だけ「はい」。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_025,noul,manual,history,"""最初は難しくて踊れなかったが、練習の最後には一人で通して踊れた。""",最後には一人で踊れたと述べているか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_026,noul,manual,scope,"""写真集の索引は山の写真だけを掲載対象とする。このページにあるのは海だけ。""",このページは索引の対象か。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_027,noul,manual,range,"""種まき可能な気温は12度から20度まで。現在は16度。""",示された気温範囲内か。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_028,noul,manual,conjunction,"""作品の完成条件は、乾燥と表面の仕上げの両方。乾いたが、仕上げはまだ。""",完成条件を満たしたか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
manual_v2_noul_029,noul,manual,scope,"""舞台上で泣いているのは役の人物であり、演じた人が悲しい経験を告白したわけではない。""",涙は役の演技として説明されているか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""true"""
manual_v2_noul_030,noul,manual,temporal,"""庭の時計は正午に音を鳴らす。今は11時55分で、今日はまだ鳴っていない。""",今日の正午の音は既に鳴ったか。,"{""false"": ""いいえ"", ""true"": ""はい""}","""false"""
