id,source,type,family,gold,predicted,max_probability,entropy_confidence,gold_nll,score_mae,state,instructions,criteria
v2-gen-noul-15-040,generated,noul,出来事の前後関係,false,true,0.915092637582487,0.5807611669690411,2.466194470726063,,渡辺さんの作業日誌は実施順に検品→引継ぎ→荷物受取→伝票記入→電話連絡→報告→休憩→棚への配置です。記載した各作業は一回ずつ実施しました。,『棚への配置が先、検品が後』という順序は正しいですか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-06-021,generated,score,約束時刻からの遅れ,2,1,0.9147276441406752,0.8038820573666599,2.6920138629083197,0.9269813186424771,木漏れ日便は9時到着の約束でした。実際の到着は同じ日の11時です。早着した場合の遅れは0時間とします。,到着の遅れを段階基準で評価してください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上、3時間未満"", ""遅れが3時間以上、4時間未満"", ""遅れが4時間以上、5時間未満"", ""遅れが5時間以上""]"
v2-gen-choice-03-033,generated,choice,最終更新,確認中,承認,0.9128884760832093,0.774880196875769,2.7179835479576875,,案件「朝露」の記録です。16時の更新: 未着手。 11時の更新: 確認中。 20時の更新: 確認中。 15時の更新: 差戻し。 19時の更新: 承認。,記載順ではなく更新時刻を比べ、最新の状態を選んでください。,"{""取消"": ""取消"", ""差戻し"": ""差戻し"", ""承認"": ""承認"", ""未着手"": ""未着手"", ""確認中"": ""確認中""}"
v2-gen-choice-10-033,generated,choice,不在時の代理,上田,森,0.9100833483382242,0.7826224331366156,3.7735265590239844,,担当者: 草原は林、灯台は石田、水面は森、白波は上田、青空は山田、朝露は加藤、山道は大野、春風は中村。代理者: 林の代理は石田、石田の代理は森、森の代理は上田、上田の代理は山田、山田の代理は加藤、加藤の代理は大野、大野の代理は中村、中村の代理は林。本日の不在者は林、山田、石田、森、上田。問い合わせ先の案件は水面です。代理への振替は一回だけ行い、その先の不在は判定しません。,一回だけの代理振替を適用した後の宛先を答えてください。,"{""上田"": ""上田さん"", ""中村"": ""中村さん"", ""加藤"": ""加藤さん"", ""大野"": ""大野さん"", ""山田"": ""山田さん"", ""林"": ""林さん"", ""森"": ""森さん"", ""石田"": ""石田さん""}"
manual_v2_score_043,manual,score,scope,2,1,0.9047454262659358,0.7190902190575142,2.681024642392549,0.9232901893438124,赤い箱には小石1個、青い箱には小石2個、黄色い箱には小石3個。色は分類用の目印。,青い箱だけの個数を評価する。,"[""0個"", ""1個"", ""2個"", ""3個以上""]"
v2-gen-choice-10-029,generated,choice,不在時の代理,高橋,青木,0.8994571336714603,0.6422063737209049,2.7763721026691592,,担当者: 灯台は高橋、草原は青木、水面は林。代理者: 高橋の代理は青木、青木の代理は林、林の代理は高橋。本日の不在者は林。問い合わせ先の案件は水面です。代理への振替は一回だけ行い、その先の不在は判定しません。,本日の規則に従う連絡相手を選んでください。,"{""林"": ""林さん"", ""青木"": ""青木さん"", ""高橋"": ""高橋さん""}"
v2-gen-noul-09-011,generated,noul,重複を除いた件数,true,false,0.8922249315809556,0.5068317997569749,2.2277089235169023,,星空棚で読み取った品名は冊子、テープ、用紙、冊子、箱、封筒、封筒、名札、箱でした。同じ品名の繰り返しは一種類として数えます。,異なる品名だけ数えると6種類以上ですか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-06-032,generated,score,約束時刻からの遅れ,1,0,0.8889087717722746,0.6488526176616993,2.306769266712797,0.8774000003185417,"{""便"": ""夕凪"", ""約束時刻"": 10, ""実際の到着時刻"": 12, ""同日"": true, ""早着時の遅れ"": 0}",約束時刻と到着時刻の差から、遅延段階を選んでください。,"[""遅れが2時間未満"", ""遅れが2時間以上、4時間未満"", ""遅れが4時間以上""]"
v2-gen-score-06-018,generated,score,約束時刻からの遅れ,2,1,0.8779162465609172,0.647527809007374,2.1328395133154237,0.8850830886314585,"{""便"": ""水面"", ""約束時刻"": 8, ""実際の到着時刻"": 11, ""同日"": true, ""早着時の遅れ"": 0}",到着の遅れを段階基準で評価してください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上""]"
v2-gen-score-13-012,generated,score,取消しを反映した件数,2,3,0.8752841193207876,0.6495045989412974,2.525705625610722,0.8159114441526714,星空の申込み記録: 渡辺は受付済み・取消済み、木村は受付済み・取消済み、遠藤は受付済み・取消済み、上田は受付済み・取消済み、山田は受付済み・取消済み、中村は受付済み・取消済み、松本は受付済み・取消なし、大野は受付済み・取消なし。取消済みの申込みは有効件数から除きます。3件以上は最終段階3にまとめます。,受付済みから取消済みを除いた件数はいくつの段階ですか。,"[""有効申込みが0件"", ""有効申込みが1件"", ""有効申込みが2件"", ""有効申込みが3件以上""]"
v2-gen-choice-12-016,generated,choice,条件付き不足書類,本人確認票,承認書,0.87449864762201,0.6632089999008742,3.022589922057739,,書類確認の優先順は承認書→委任状→本人確認票→見積書。承認書だけは代理申請の場合に限って必要で、それ以外は常に必要です。今回は本人申請。提出済みは委任状です。,必要な不足書類を先頭から一つだけ案内します。どれですか。必要書類に不足がなければ追加不要です。,"{""委任状"": ""委任状"", ""承認書"": ""承認書"", ""本人確認票"": ""本人確認票"", ""見積書"": ""見積書"", ""追加不要"": ""必要書類はすべて提出済み""}"
v2-gen-noul-09-047,generated,noul,重複を除いた件数,true,false,0.8647478951241382,0.4283318566203266,2.0006147985236935,,"{""棚"": ""夕凪"", ""読み取り品名"": [""箱"", ""クリップ"", ""ノート"", ""ノート"", ""シール""], ""数え方"": ""同一品名の重複を除く""}",品物の種類は4種類以上ありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-choice-03-050,generated,choice,最終更新,承認,保留,0.8642561545838057,0.5866139211248362,3.9051842080016717,,案件「灯台」の記録です。9時の更新: 保留。 20時の更新: 承認。 10時の更新: 保留。,時刻が最も新しい更新に基づく状態を答えてください。,"{""保留"": ""保留"", ""承認"": ""承認"", ""未着手"": ""未着手""}"
v2-gen-score-07-019,generated,score,証拠の最高到達段階,1,0,0.8589959091680335,0.6254372804127603,2.314602220152112,0.7880650630678113,この調査固有の証拠段階表: 一次資料は段階1、写真記録は段階2、口頭メモは段階3。朝露で得られた証拠は一次資料。複数ある場合は最大の段階を使い、なければ0です。,明示された段階表だけで証拠を評価してください。,"[""証拠なしの段階0"", ""表に基づく最高証拠段階1"", ""表に基づく最高証拠段階2"", ""表に基づく最高証拠段階3""]"
v2-gen-noul-10-011,generated,noul,条件付き義務,false,true,0.857604329133975,0.40952136486457913,1.9491456816881225,,"{""規則"": ""追加申請なら確認票の添付が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-023,generated,noul,条件付き義務,false,true,0.8398059566383027,0.3652264340674616,1.8313694275504178,,"{""規則"": ""追加申請なら控えの交付が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-07-004,generated,score,証拠の最高到達段階,1,0,0.8286800791880842,0.4911462188868859,2.08827092034325,0.7812613441053116,この調査固有の証拠段階表: 写真記録は段階1、立会記録は段階2。青空で得られた証拠は写真記録。複数ある場合は最大の段階を使い、なければ0です。,この調査の証拠段階を選んでください。,"[""証拠なしの段階0"", ""表に基づく最高証拠段階1"", ""表に基づく最高証拠段階2""]"
v2-gen-choice-11-034,generated,choice,小数量の比較,カード,付箋,0.8181542989062298,0.5606967760656312,2.536700879309719,,入出庫記録: 箱は在庫11個、そのうち予約0個、付箋は在庫1個、そのうち予約0個、カードは在庫5個、そのうち予約5個、袋は在庫8個、そのうち予約2個、ファイルは在庫14個、そのうち予約4個。予約分は自由在庫に含めません。,予約分を差し引いた残りが一番少ないのはどれですか。,"{""カード"": ""カード"", ""ファイル"": ""ファイル"", ""付箋"": ""付箋"", ""箱"": ""箱"", ""袋"": ""袋""}"
v2-gen-noul-10-031,generated,noul,条件付き義務,false,true,0.8165929670102107,0.3125260900706942,1.696047372077205,,"{""規則"": ""新規申請なら担当者の署名が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-039,generated,noul,条件付き義務,false,true,0.814770971326526,0.30861642417239143,1.6861622267554728,,"{""規則"": ""法人向けなら依頼者への通知が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-007,generated,noul,条件付き義務,false,true,0.8105782581502604,0.2997397798546696,1.663779311525166,,"{""規則"": ""個人向けなら事前連絡が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-08-016,generated,score,要件への一致数,3,2,0.808677557104418,0.6735613570404086,1.964820435714613,0.791355604938059,"{""注文要件"": {""サイズ"": ""小"", ""配送"": ""宅配"", ""色"": ""赤"", ""包装"": ""袋"", ""素材"": ""紙"", ""印字"": ""なし"", ""形"": ""四角""}, ""提案品"": {""サイズ"": ""中"", ""配送"": ""店頭"", ""色"": ""青"", ""包装"": ""袋"", ""素材"": ""紙"", ""印字"": ""なし"", ""形"": ""三角""}}",提案品が満たす要件数はいくつの段階ですか。,"[""一致した要件が0項目"", ""一致した要件が1項目"", ""一致した要件が2項目"", ""一致した要件が3項目"", ""一致した要件が4項目"", ""一致した要件が5項目"", ""一致した要件が6項目"", ""一致した要件が7項目""]"
v2-gen-noul-10-006,generated,noul,条件付き義務,true,false,0.8008662195809868,0.27980773077903753,1.613778416713343,,"{""規則"": ""代理申請なら記録票の保存が必要。それ以外では義務なし"", ""条件に該当"": false, ""必要処置を実施"": true}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-034,generated,noul,条件付き義務,true,false,0.7870227346361389,0.25286473573308044,1.5465698543502724,,"{""規則"": ""法人向けなら上長の承認が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": true}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-11-010,generated,score,時刻順の評価更新,0,1,0.7804550132992031,0.24066420868929939,1.5161981166655598,0.7804550132992031,"{""案件"": ""木漏れ日"", ""評価更新"": [{""時刻"": 15, ""段階"": 0}, {""時刻"": 10, ""段階"": 0}, {""時刻"": 14, ""段階"": 0}, {""時刻"": 21, ""段階"": 0}, {""時刻"": 7, ""段階"": 0}, {""時刻"": 11, ""段階"": 1}], ""採用規則"": ""最新時刻だけを採用""}",最後に更新された有効な段階はいくつですか。,"[""評価段階0"", ""評価段階1""]"
v2-gen-noul-14-026,generated,noul,予定時間の重なり,true,false,0.7753971368324564,0.23151642355567015,1.4934214889071167,,"{""対象者"": ""森"", ""会議"": [13, 16], ""面談"": [13, 17], ""規則"": ""終了時刻と開始時刻が一致するだけなら重複なし""}",指定された端点の扱いで予定の重複はありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-13-001,generated,score,取消しを反映した件数,0,6,0.7734843495089992,0.5212517260012093,3.0688278054190468,5.241034250727813,朝露の申込み記録: 大野は未受付・取消なし、林は未受付・取消なし、松本は未受付・取消なし、加藤は未受付・取消なし、石田は未受付・取消なし、木村は未受付・取消なし、渡辺は未受付・取消なし。取消済みの申込みは有効件数から除きます。6件以上は最終段階6にまとめます。,現在有効な申込みだけを数えて評価してください。,"[""有効申込みが0件"", ""有効申込みが1件"", ""有効申込みが2件"", ""有効申込みが3件"", ""有効申込みが4件"", ""有効申込みが5件"", ""有効申込みが6件以上""]"
v2-gen-noul-10-010,generated,noul,条件付き義務,true,false,0.7709651209080544,0.2236749166089339,1.4738809765807783,,"{""規則"": ""法人向けなら依頼者への通知が必要。それ以外では義務なし"", ""条件に該当"": false, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-022,generated,noul,条件付き義務,true,false,0.7694699285118909,0.2210658066328598,1.4673739630674012,,"{""規則"": ""代理申請なら担当者の署名が必要。それ以外では義務なし"", ""条件に該当"": false, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-choice-10-009,generated,choice,不在時の代理,高橋,青木,0.7691172842860233,0.4388207428511687,2.130811904393089,,担当者: 木漏れ日は高橋、山道は木村、白波は石田、朝露は青木。代理者: 高橋の代理は木村、木村の代理は石田、石田の代理は青木、青木の代理は高橋。本日の不在者は青木。問い合わせ先の案件は朝露です。代理への振替は一回だけ行い、その先の不在は判定しません。,一回だけの代理振替を適用した後の宛先を答えてください。,"{""木村"": ""木村さん"", ""石田"": ""石田さん"", ""青木"": ""青木さん"", ""高橋"": ""高橋さん""}"
v2-gen-noul-10-042,generated,noul,条件付き義務,true,false,0.7674348555873843,0.21754380512773186,1.4585849021788968,,規則: 社外向けのときだけ受付印の押印が必須です。それ以外の場合にはこの義務はなく、実施していても構いません。今回の案件は社外向けに非該当で、受付印の押印は実施済みです。,この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-11-036,generated,noul,参照関係の真偽,false,true,0.7659266559816905,0.21495524754513917,1.4521207767595476,,"{""案件担当"": {""若葉"": ""松本"", ""春風"": ""上田""}, ""資料関連先"": {""箱"": ""若葉"", ""カード"": ""春風""}}",カードの関連先を担当表で引くと松本さんになりますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-08-021,generated,score,要件への一致数,4,3,0.761689498847911,0.6111104570262995,1.6325552506899275,0.8513230407724848,注文要件: 包装=なし、配送=宅配、サイズ=中、素材=布、形=四角。提案品: 包装=なし、配送=宅配、サイズ=大、素材=布、形=四角。,注文要件と一致している属性の数を段階として選んでください。,"[""一致した要件が0項目"", ""一致した要件が1項目"", ""一致した要件が2項目"", ""一致した要件が3項目"", ""一致した要件が4項目"", ""一致した要件が5項目""]"
v2-gen-noul-06-038,generated,noul,更新後の状態,true,false,0.7614415649463494,0.20736522239846344,1.433140987956832,,"{""対象"": ""木漏れ日"", ""更新記録"": [{""時刻"": 9, ""状態"": ""空席あり""}, {""時刻"": 14, ""状態"": ""満席""}, {""時刻"": 17, ""状態"": ""停止中""}, {""時刻"": 10, ""状態"": ""空席あり""}], ""規則"": ""最新時刻の記録が有効""}",現在の状態は「停止中」ですか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-030,generated,noul,条件付き義務,true,false,0.7549124536758403,0.19660118159062057,1.406139800329916,,"{""規則"": ""法人向けなら確認票の添付が必要。それ以外では義務なし"", ""条件に該当"": false, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-06-048,generated,score,約束時刻からの遅れ,2,1,0.7546880135883282,0.5556624579550288,1.5978517100815939,0.7646490831189992,"{""便"": ""星空"", ""約束時刻"": 8, ""実際の到着時刻"": 10, ""同日"": true, ""早着時の遅れ"": 0}",遅れの時間に対応する段階を答えてください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上、3時間未満"", ""遅れが3時間以上、4時間未満"", ""遅れが4時間以上""]"
v2-gen-score-08-014,generated,score,要件への一致数,3,2,0.750293878366503,0.5664119311846201,1.7312806191475032,0.8379489081889697,注文要件: 配送=宅配、素材=布、色=白、サイズ=中、包装=袋。提案品: 配送=店頭、素材=紙、色=白、サイズ=中、包装=袋。,各属性の完全一致を一点として採点してください。,"[""一致した要件が0項目"", ""一致した要件が1項目"", ""一致した要件が2項目"", ""一致した要件が3項目"", ""一致した要件が4項目"", ""一致した要件が5項目""]"
v2-gen-score-11-038,generated,score,時刻順の評価更新,0,1,0.7465296611472839,0.18326770945721937,1.3725084692948548,0.7465296611472839,夕凪の評価更新履歴: 15時に段階0、7時に段階0、14時に段階1。評価は最新時刻の値だけを採用します。,最後に更新された有効な段階はいくつですか。,"[""評価段階0"", ""評価段階1""]"
v2-gen-choice-11-021,generated,choice,小数量の比較,名札,ラベル,0.7448132082547974,0.45481286436039925,1.3923530766296404,,入出庫記録: ラベルは在庫7個、そのうち予約3個、名札は在庫8個、そのうち予約2個、ペンは在庫3個、そのうち予約0個。予約分は自由在庫に含めません。,予約分を差し引いた残りが一番多いのはどれですか。,"{""ペン"": ""ペン"", ""ラベル"": ""ラベル"", ""名札"": ""名札""}"
v2-gen-score-09-018,generated,score,例外による上限,2,1,0.7407395635279358,0.3594046193196775,1.579237082234098,0.846995836021825,検査合格状況: 記録は合格、表示は合格。合格項目一つにつき1点ですが、要再確認の印があれば上限1点に制限します。今回その印はありません。,単純な合格数ではなく、上限ルール適用後の点数を求めてください。,"[""最終点0点"", ""最終点1点"", ""最終点2点""]"
v2-gen-noul-14-034,generated,noul,予定時間の重なり,true,false,0.739999160756821,0.17325236108061215,1.3470704201134387,,"{""対象者"": ""吉田"", ""会議"": [12, 14], ""面談"": [12, 14], ""規則"": ""終了時刻と開始時刻が一致するだけなら重複なし""}",指定された端点の扱いで予定の重複はありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-11-044,generated,noul,参照関係の真偽,false,true,0.7345736156857563,0.16517504529607685,1.326417748633188,,担当表: 山道は渡辺、朝露は上田。資料の関連先: 付箋は朝露、ラベルは山道。,上田さんはラベルが属する案件の担当者と言えますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-11-004,generated,score,時刻順の評価更新,2,0,0.7284945168496827,0.3846503169091159,1.414844368381666,1.4855310935524568,山道の評価更新履歴: 15時に段階2、7時に段階0、13時に段階2、21時に段階2、20時に段階0。評価は最新時刻の値だけを採用します。,現在採用すべき評価段階を選んでください。,"[""評価段階0"", ""評価段階1"", ""評価段階2""]"
v2-gen-noul-10-041,generated,noul,条件付き義務,false,true,0.7251641087928621,0.15168143340741347,1.2915811186940076,,規則: 追加申請のときだけ受付印の押印が必須です。それ以外の場合にはこの義務はなく、実施していても構いません。今回の案件は追加申請に該当で、受付印の押印は未実施です。,この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-06-008,generated,score,約束時刻からの遅れ,1,0,0.7232068772007944,0.6839775576250418,1.298782934226376,0.7165439875930822,木漏れ日便は5時到着の約束でした。実際の到着は同じ日の7時です。早着した場合の遅れは0時間とします。,到着の遅れを段階基準で評価してください。,"[""遅れが2時間未満"", ""遅れが2時間以上、4時間未満"", ""遅れが4時間以上、6時間未満"", ""遅れが6時間以上、8時間未満"", ""遅れが8時間以上、10時間未満"", ""遅れが10時間以上、12時間未満"", ""遅れが12時間以上""]"
v2-gen-score-08-044,generated,score,要件への一致数,7,6,0.7224289610286206,0.6901199956138679,1.3140791265118612,0.7571377869633542,"{""注文要件"": {""包装"": ""なし"", ""サイズ"": ""大"", ""形"": ""四角"", ""配送"": ""宅配"", ""印字"": ""片面のみ"", ""色"": ""白"", ""素材"": ""布""}, ""提案品"": {""包装"": ""なし"", ""サイズ"": ""大"", ""形"": ""四角"", ""配送"": ""宅配"", ""印字"": ""片面のみ"", ""色"": ""白"", ""素材"": ""布""}}",注文要件と一致している属性の数を段階として選んでください。,"[""一致した要件が0項目"", ""一致した要件が1項目"", ""一致した要件が2項目"", ""一致した要件が3項目"", ""一致した要件が4項目"", ""一致した要件が5項目"", ""一致した要件が6項目"", ""一致した要件が7項目""]"
v2-gen-score-06-041,generated,score,約束時刻からの遅れ,1,0,0.7193942811304831,0.6109351360529296,1.2907790763617333,0.7105484152043127,"{""便"": ""木漏れ日"", ""約束時刻"": 7, ""実際の到着時刻"": 8, ""同日"": true, ""早着時の遅れ"": 0}",到着の遅れを段階基準で評価してください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上、3時間未満"", ""遅れが3時間以上、4時間未満"", ""遅れが4時間以上""]"
v2-gen-noul-09-009,generated,noul,重複を除いた件数,true,false,0.7171665263786983,0.14071705135480483,1.262896986966772,,"{""棚"": ""水面"", ""読み取り品名"": [""ノート"", ""シール"", ""冊子"", ""ノート"", ""袋"", ""付箋"", ""冊子"", ""用紙""], ""数え方"": ""同一品名の重複を除く""}",品物の種類は6種類以上ありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-018,generated,noul,条件付き義務,true,false,0.7147166007696101,0.13744968882580588,1.254272209520495,,"{""規則"": ""法人向けなら控えの交付が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": true}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
